category,pdf_title,pdf_url,source_url
Relatórios e Contas,RC2024,https://arm.pt/wp-content/uploads/2025/04/RC2024.pdf,https://arm.pt/empresa/
Relatórios e Contas,RC2023 VF completo leve,https://arm.pt/wp-content/uploads/2024/04/RC2023_VF_completo_leve.pdf,https://arm.pt/empresa/
Relatórios e Contas,RC2022 VF aprovado ago 2023,https://arm.pt/wp-content/uploads/2023/04/RC2022-VF-aprovado_ago_2023.pdf,https://arm.pt/empresa/
Relatórios e Contas,RC2021 vf aprovada ago 2023,https://arm.pt/wp-content/uploads/2022/04/RC2021-vf-aprovada_ago_2023.pdf,https://arm.pt/empresa/
Relatórios e Contas,RC2020 vf aprovada ago 2023,https://arm.pt/wp-content/uploads/2022/02/RC2020-vf-aprovada_ago_2023.pdf,https://arm.pt/empresa/
Relatórios e Contas,RC2019 vf aprovada ago 2023,https://arm.pt/wp-content/uploads/2022/02/RC2019-vf-aprovada_ago_2023.pdf,https://arm.pt/empresa/
Regulamentos,Regulamento ARM ISerie 075 2014 05 23,https://arm.pt/wp-content/uploads/2022/02/Regulamento_ARM_ISerie-075-2014-05-23.pdf,https://arm.pt/empresa/
Regulamentos,Regulamento PortoSanto,https://arm.pt/wp-content/uploads/2022/02/Regulamento-PortoSanto.pdf,https://arm.pt/empresa/
Regulamentos,Regulamento Utilizacao ETRS,https://arm.pt/wp-content/uploads/2022/02/Regulamento-Utilizacao-ETRS.pdf,https://arm.pt/empresa/
"Qualidade, Ambiente e Segurança",FQAS023 Regulamento de Ambiente e SST,https://arm.pt/wp-content/uploads/2024/05/FQAS023-Regulamento-de-Ambiente-e-SST.pdf,https://arm.pt/empresa/
"Qualidade, Ambiente e Segurança",Politica de Gestao fev2025,https://arm.pt/wp-content/uploads/2024/05/Politica-de-Gestao_fev2025.pdf,https://arm.pt/empresa/
"Qualidade, Ambiente e Segurança",Manual de Qualidade e Ambiente ARM 2025 Fevereiro,https://arm.pt/wp-content/uploads/2024/05/Manual-de-Qualidade-e-Ambiente-ARM-2025_Fevereiro.pdf,https://arm.pt/empresa/
Gestão de Riscos de Corrupção,PPR ARM 2023 2025 ago 2023,https://arm.pt/wp-content/uploads/2022/02/PPR_ARM_2023_2025_ago_2023.pdf,https://arm.pt/empresa/
Gestão de Riscos de Corrupção,Relatorio anual PGRCIC 2020 VFaprovada ago 2023,https://arm.pt/wp-content/uploads/2022/04/Relatorio-anual_PGRCIC_2020_VFaprovada_ago_2023.pdf,https://arm.pt/empresa/
Gestão de Riscos de Corrupção,Relatorio execucao PGRCIC 2021 VF aprovada ago 2023,https://arm.pt/wp-content/uploads/2022/09/Relatorio-execucao-PGRCIC_2021_VF_aprovada_ago_2023.pdf,https://arm.pt/empresa/
Gestão de Riscos de Corrupção,Relatorio execucao PGRCIC 2022 realizado MAIO 2023 vf aprovado ago 2023,https://arm.pt/wp-content/uploads/2023/06/Relatorio-execucao-PGRCIC_2022_realizado_MAIO-2023_vf-aprovado_ago_2023.pdf,https://arm.pt/empresa/
Gestão de Riscos de Corrupção,Relatorio Intercalar execucao PPR Out 2023,https://arm.pt/wp-content/uploads/2023/11/Relatorio-Intercalar-execucao-PPR_Out_2023.pdf,https://arm.pt/empresa/
Gestão de Riscos de Corrupção,Relatorio Anual PPR Abril 2024,https://arm.pt/wp-content/uploads/2024/04/Relatorio-Anual-PPR-Abril-2024.pdf,https://arm.pt/empresa/
Gestão de Riscos de Corrupção,Relatorio Intercalar execucao PPR Out 2024,https://arm.pt/wp-content/uploads/2024/10/Relatorio-Intercalar-execucao-PPR_Out_2024.pdf,https://arm.pt/empresa/
Gestão de Riscos de Corrupção,Relatorio de Avaliacao Anual do Plano de Prevencao de Riscos de Corrupcao e Infracoes Conexas PPR 2025,https://arm.pt/wp-content/uploads/2025/04/Relatorio-de-Avaliacao-Anual-do-Plano-de-Prevencao-de-Riscos-de-Corrupcao-e-Infracoes-Conexas-PPR-2025.pdf,https://arm.pt/empresa/
Gestão de Riscos de Corrupção,Relatorio Intercalar execucao PPR Out 2025,https://arm.pt/wp-content/uploads/2025/10/Relatorio-Intercalar-execucao-PPR_Out_2025.pdf,https://arm.pt/empresa/
Estatutos ARM,Estatuto ARM apos AG de 29 12 2021 VF conforme original ago 2023,https://arm.pt/wp-content/uploads/2022/04/Estatuto-ARM-apos-AG-de-29_12_2021-VF_conforme-original_ago_2023.pdf,https://arm.pt/empresa/
Estatutos ARM,Consolidacao Decreto Legislativo Regional n.o 17 2014 M Diario da Republica n.o 242 2014 Serie I de 2014 12 16 1,https://arm.pt/wp-content/uploads/2023/02/Consolidacao-Decreto-Legislativo-Regional-n.o-17_2014_M-Diario-da-Republica-n.o-242_2014-Serie-I-de-2014-12-16-1.pdf,https://arm.pt/empresa/
Código de Conduta,CODIGO DE CONDUTA ARM 2023 2025 ago 2023,https://arm.pt/wp-content/uploads/2022/02/CODIGO-DE-CONDUTA-ARM-2023-2025_ago_2023.pdf,https://arm.pt/empresa/
Plano para a Igualdade,Plano para a Igualdade ARM,https://arm.pt/wp-content/uploads/2024/11/Plano-para-a-Igualdade-ARM.pdf,https://arm.pt/empresa/
Canal de Denúncia,PERGUNTAS FREQUENTES / FAQs,https://arm.pt/wp-content/uploads/2025/07/ARM_Canal_de_Denuncia_FAQs_2025.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao 3.o T 2025,https://arm.pt/wp-content/uploads/2025/11/Parecer-CF-Relatorio-Execucao-3.o-T-2025.pdf,https://arm.pt/empresa/
Outros Documentos,RELATORIO EXECUCAO 3o T 2025,https://arm.pt/wp-content/uploads/2025/11/RELATORIO-EXECUCAO_3o-T-2025.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio ROC Relatorio Execucao 3.o T 2025,https://arm.pt/wp-content/uploads/2025/11/Relatorio-ROC-Relatorio-Execucao-3.o-T-2025.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao 2.o T 2025,https://arm.pt/wp-content/uploads/2025/09/Parecer-CF-Relatorio-Execucao-2.o-T-2025.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao 2.o T 2025,https://arm.pt/wp-content/uploads/2025/09/Relatorio-Execucao-2.o-T-2025.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio ROC Relatorio Execucao 2.o T 2025,https://arm.pt/wp-content/uploads/2025/09/Relatorio-ROC-Relatorio-Execucao-2.o-T-2025.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao 1.o T 2025,https://arm.pt/wp-content/uploads/2025/06/Parecer-CF-Relatorio-Execucao-1.o-T-2025.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao 1.o T 2025,https://arm.pt/wp-content/uploads/2025/06/Relatorio-Execucao-1.o-T-2025.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio ROC Relatorio Execucao 1.o T 2025,https://arm.pt/wp-content/uploads/2025/06/Relatorio-ROC-Relatorio-Execucao-1.o-T-2025.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao 4.o T 2024,https://arm.pt/wp-content/uploads/2025/05/Parecer-CF_Relatorio-Execucao-4.o-T-2024.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio ROC Relatorio Execucao 4.o T 2024,https://arm.pt/wp-content/uploads/2025/05/Relatorio-ROC-Relatorio-Execucao-4.o-T-2024.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao 4o T 2024,https://arm.pt/wp-content/uploads/2025/05/Relatorio-Execucao-4o-T-2024.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao 3.o T 2024,https://arm.pt/wp-content/uploads/2025/01/Parecer-CF_Relatorio-Execucao_3.o-T-2024.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio ROC Relatorio Execucao 3.o T 2024,https://arm.pt/wp-content/uploads/2025/01/Relatorio-ROC-Relatorio-Execucao-3.o-T-2024.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao 3o T 2024,https://arm.pt/wp-content/uploads/2025/01/Relatorio-Execucao-3o-T-2024.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao 2o T 2024,https://arm.pt/wp-content/uploads/2024/10/Parecer-CF-Relatorio-Execucao-2o-T-2024.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio ROC Relatorio Execucao 2.o T 2024,https://arm.pt/wp-content/uploads/2024/10/Relatorio-ROC-Relatorio-Execucao-2.o-T_2024.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao 2o T 2024,https://arm.pt/wp-content/uploads/2024/10/Relatorio-Execucao-2o-T-2024.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao – 1o T 2024,https://arm.pt/wp-content/uploads/2024/09/Parecer-CF-Relatorio-Execucao-–-1o-T_2024.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio ROC Relatorio Execucao 1o T 2024,https://arm.pt/wp-content/uploads/2024/09/Relatorio-ROC-Relatorio-Execucao-1o-T_2024.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao 1o T 2024 1,https://arm.pt/wp-content/uploads/2024/09/Relatorio-Execucao-1o-T-2024-1.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao – 4o T 2023,https://arm.pt/wp-content/uploads/2024/04/Parecer-CF-Relatorio-Execucao-–-4o-T_2023.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao – 4o T 2023,https://arm.pt/wp-content/uploads/2024/04/Relatorio-Execucao-–-4o-T-2023.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao – 3o T 2023,https://arm.pt/wp-content/uploads/2024/04/Parecer-CF-Relatorio-Execucao-–-3o-T_2023.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao – 3.o T 2023,https://arm.pt/wp-content/uploads/2024/04/Relatorio-Execucao-–-3.o-T_2023.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao – 2o T 2023,https://arm.pt/wp-content/uploads/2024/04/Parecer-CF-Relatorio-Execucao-–-2o-T_2023.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao – 2o T 2023,https://arm.pt/wp-content/uploads/2024/04/Relatorio-Execucao-–-2o-T_2023.pdf,https://arm.pt/empresa/
Outros Documentos,Parecer CF Relatorio Execucao – 1o T 2023,https://arm.pt/wp-content/uploads/2024/04/Parecer-CF-Relatorio-Execucao-–-1o-T_2023.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao–1o T Indicadores Operacionais 2023,https://arm.pt/wp-content/uploads/2024/04/Relatorio-Execucao–1o-T-Indicadores-Operacionais-2023.pdf,https://arm.pt/empresa/
Outros Documentos,Relatorio Execucao – 1o T 2023,https://arm.pt/wp-content/uploads/2024/04/Relatorio-Execucao-–-1o-T_2023.pdf,https://arm.pt/empresa/
Outros Documentos,PAO 2026 30,https://arm.pt/wp-content/uploads/2026/03/PAO_2026-30.pdf,https://arm.pt/empresa/
Outros Documentos,PAO 2025 29,https://arm.pt/wp-content/uploads/2025/04/PAO_2025-29.pdf,https://arm.pt/empresa/
Outros Documentos,PAO 2024 28,https://arm.pt/wp-content/uploads/2024/10/PAO-2024-28.pdf,https://arm.pt/empresa/
Outros Documentos,PAO 2023 27,https://arm.pt/wp-content/uploads/2024/04/PAO_2023-27.pdf,https://arm.pt/empresa/
Outros Documentos,Apoios recebidos da RAM 2023 25,https://arm.pt/wp-content/uploads/2026/03/Apoios-recebidos-da-RAM-2023-25.pdf,https://arm.pt/empresa/
Outros Documentos,Apoios recebidos da RAM 2022 24,https://arm.pt/wp-content/uploads/2025/02/Apoios-recebidos-da-RAM-2022-24.pdf,https://arm.pt/empresa/
Outros Documentos,Apoios recebidos da RAM 2021 23,https://arm.pt/wp-content/uploads/2024/05/Apoios-recebidos-da-RAM-2021-23.pdf,https://arm.pt/empresa/
