publication_title,pdf_title,pdf_url,publication_url,date
Sin título,Iraqpdf (0.6  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-operationalizing-hdp-nexus-iraq.pdf,https://www.undp.org/publications/operationalizing-humanitarian-development-peace-nexus,
Sin título,Ukrainepdf (0.5  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-operationalizing-hdp-nexus-ukraine.pdf,https://www.undp.org/publications/operationalizing-humanitarian-development-peace-nexus,
Sin título,Yemenpdf (1.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-operationalizing-hdp-nexus-yemen.pdf,https://www.undp.org/publications/operationalizing-humanitarian-development-peace-nexus,
Sin título,HDP Nexus Compendiumpdf (2.4  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-and-the-hdp-nexus-compendium-of-country-level-examples.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Afghanistan snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-hdp-nexus-compendium-afghanistan.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Burkina Faso snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-hdp-nexus-compendium-burkina-faso.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Colombia snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-hdp-nexus-compendium-colombia.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Ethiopia snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-hdp-nexus-compendium-ethiopia.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Iraq snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-iraq.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Lebanon snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-lebanon.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Libya snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-libya.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Mozambique snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-mozambique.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Myanmar snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-myanmar.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Pakistan snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-pakistan.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Papua New Guinea snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-papua-new-guinea.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Somalia snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-somalia_0.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,South Sudan snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-south-sudan.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Sudan snaphotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-sudan.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Syria snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-syria.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Ukraine snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-ukraine.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Venezuela snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-venezuela.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Yemen snapshotpdf (0.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-03/undp-hdp-nexus-compendium-yemen.pdf,https://www.undp.org/publications/undp-and-hdp-nexus-compendium-country-level-examples,
Sin título,Countering Digital Scams: Stemming the Tide on an Urgent Development Challengepdf (1.3  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-countering-digital-scams.pdf,https://www.undp.org/publications/countering-digital-scams-stemming-tide-urgent-development-challenge,
Sin título,Global Progress Report on SDG 16: Latin America and the Caribbeanpdf (6.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-ohchr-unodc-global-progress-report-sdg16-lac.pdf,https://www.undp.org/publications/global-progress-report-sustainable-development-goal-16,
Sin título,Informe Global de Progreso sobre el ODS16: América Latina y el Caribepdf (6.2  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-ohchr-unodc-global-progress-report-sdg16-lac-spanish.pdf,https://www.undp.org/publications/global-progress-report-sustainable-development-goal-16,
Sin título,Agrifood systems in national adaptation plans: An analysispdf (6.8  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-fao-agrifood-systems-in-national-adaptation-plans.pdf,https://www.undp.org/publications/agrifood-systems-national-adaptation-plans-analysis,
Sin título,Realizing the Return: Insights from a Decade of Investment Cases on Noncommunicable Diseases and Mental Healthpdf (4.5  MB),https://www.undp.org/sites/g/files/zskgke326/files/2026-02/undp-itfncd-realizing-the-return-insights-noncommunicable-diseases.pdf,https://www.undp.org/publications/realizing-return-insights-decade-investment-cases-noncommunicable-diseases-and-mental-health,
